d3mIndex,Player,Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position,Hall_of_Fame
18,JOEY_AMALFITANO,10,643,1715,248,418,67,19,9,123,185,224.0,0.244,0.322,0.321,0.97,Second_base,0
19,RUBEN_AMARO,11,940,2155,211,505,75,13,8,156,227,280.0,0.23399999999999999,0.31,0.292,0.9670000000000001,Shortstop,0
20,DAVE_ANDERSON,10,873,2026,244,490,73,12,19,143,206,331.0,0.242,0.313,0.318,0.97,Shortstop,0
22,CAP_ANSON,22,2276,9101,1719,2995,528,124,97,1879,952,294.0,0.32899999999999996,0.395,0.446,0.9740000000000001,First_base,2
23,LUIS_APARICIO,18,2599,10230,1335,2677,394,92,83,791,736,742.0,0.262,0.313,0.34299999999999997,0.972,Shortstop,1
26,TONY_ARMAS,14,1432,5164,614,1302,204,39,251,815,260,1201.0,0.252,0.29,0.45299999999999996,0.981,Outfield,0
28,ALAN_ASHBY,17,1370,4123,397,1010,183,13,90,513,461,622.0,0.245,0.32299999999999995,0.361,0.986,Catcher,0
29,BOB_ASPROMONTE,13,1324,4369,386,1103,135,26,60,457,333,459.0,0.252,0.31,0.336,0.96,Third_base,0
30,JOE_ASTROTH,10,544,1579,163,401,51,10,13,156,177,124.0,0.254,0.33399999999999996,0.324,0.987,Catcher,0
31,RICK_AUERBACH,11,624,1407,167,309,56,5,9,86,127,198.0,0.22,0.287,0.28600000000000003,0.96,Shortstop,0
32,JIMMY_AUSTIN,18,1580,5388,661,1328,174,76,13,390,592,363.0,0.24600000000000002,0.326,0.314,0.9329999999999999,Third_base,0
33,EARL_AVERILL,13,1668,6353,1224,2019,401,128,238,1164,774,518.0,0.318,0.395,0.534,0.97,Outfield,2
34,BOBBY_AVILA,11,1300,4620,725,1296,185,35,80,467,561,399.0,0.281,0.36,0.38799999999999996,0.9790000000000001,Second_base,0
35,BENNY_AYALA,10,425,865,114,217,42,1,38,145,71,136.0,0.251,0.309,0.434,0.958,Outfield,0
36,JOE_AZCUE,11,909,2828,201,712,94,9,50,304,207,344.0,0.252,0.307,0.344,0.992,Catcher,0
37,ED_BAILEY,14,1212,3581,432,915,128,15,155,540,545,577.0,0.256,0.358,0.429,0.986,Catcher,0
38,BOB_BAILEY,17,1931,6082,772,1564,234,43,189,773,852,1126.0,0.257,0.35,0.40299999999999997,0.946,Third_base,0
39,BOB_BAILOR,11,955,2937,339,775,107,23,9,222,187,164.0,0.264,0.312,0.325,0.98,Outfield,0
41,FRANK_BAKER,13,1575,5984,887,1838,315,103,96,987,473,182.0,0.307,0.363,0.442,0.943,Third_base,2
42,DUSTY_BAKER,19,2039,7117,964,1981,320,23,242,1013,762,926.0,0.278,0.35100000000000003,0.43200000000000005,0.985,Outfield,0
43,DAVE_BANCROFT,16,1913,7182,1048,2004,320,77,32,591,827,487.0,0.27899999999999997,0.355,0.358,0.9440000000000001,Shortstop,2
45,ERNIE_BANKS,19,2528,9421,1305,2583,407,90,512,1636,763,1236.0,0.27399999999999997,0.33299999999999996,0.5,0.9940000000000001,First_base,1
46,ALAN_BANNISTER,12,972,3007,430,811,143,28,19,288,292,318.0,0.27,0.337,0.355,0.983,Outfield,0
47,JESSE_BARFIELD,12,1428,4759,715,1219,216,30,241,716,551,1234.0,0.256,0.33799999999999997,0.466,0.98,Outfield,0
48,JIMMY_BARRETT,10,866,3306,580,962,83,47,16,255,440,,0.29100000000000004,0.379,0.359,0.9540000000000001,Outfield,0
50,SHAD_BARRY,10,1100,4014,516,1073,128,47,10,391,279,,0.267,0.32,0.33,0.955,Outfield,0
51,JACK_BARRY,11,1223,4146,532,1009,142,38,10,429,396,142.0,0.243,0.321,0.303,0.935,Shortstop,0
52,DICK_BARTELL,18,2016,7629,1130,2165,442,71,79,710,748,627.0,0.284,0.355,0.391,0.953,Shortstop,0
53,BOB_BARTON,10,393,1049,54,237,31,3,9,66,87,168.0,0.226,0.28800000000000003,0.287,0.987,Catcher,0
54,JOHN_BATEMAN,10,1017,3330,250,765,123,18,81,375,172,610.0,0.23,0.273,0.35,0.982,Catcher,0
55,EARL_BATTEY,13,1141,3586,393,969,150,17,104,449,421,470.0,0.27,0.35100000000000003,0.409,0.99,Catcher,0
56,MATT_BATTS,10,546,1605,163,432,95,11,26,220,143,163.0,0.26899999999999996,0.33,0.391,0.983,Catcher,0
57,HANK_BAUER,14,1544,5145,833,1424,229,57,164,703,521,638.0,0.27699999999999997,0.34700000000000003,0.439,0.982,Outfield,0
58,FRANK_BAUMHOLTZ,10,1019,3477,450,1010,165,51,25,272,258,258.0,0.29,0.342,0.389,0.98,Outfield,0
59,DON_BAYLOR,19,2292,8198,1236,2135,366,28,338,1276,805,1069.0,0.26,0.34600000000000003,0.436,0.977,Designated_hitter,0
60,JIM_BEAUCHAMP,10,393,661,79,153,18,4,14,90,54,150.0,0.231,0.292,0.33399999999999996,0.98,First_base,0
61,GINGER_BEAUMONT,12,1463,5660,955,1759,182,82,39,617,425,14.0,0.311,0.36200000000000004,0.39299999999999996,0.956,Outfield,0
63,JAKE_BECKLEY,20,2386,9526,1600,2930,473,243,86,1575,616,270.0,0.308,0.361,0.435,0.981,First_base,2
64,MARK_BELANGER,18,2016,5784,676,1316,175,33,20,389,576,839.0,0.228,0.302,0.28,0.977,Shortstop,0
65,BUDDY_BELL,18,2405,8995,1151,2514,425,56,201,1106,836,776.0,0.27899999999999997,0.34299999999999997,0.406,0.9640000000000001,Third_base,0
66,GUS_BELL,15,1741,6478,865,1823,311,66,206,942,470,636.0,0.281,0.33299999999999996,0.445,0.985,Outfield,0
67,JOHNNY_BENCH,17,2158,7658,1091,2048,381,24,389,1376,891,1278.0,0.267,0.345,0.47600000000000003,0.99,Catcher,1
68,BRUCE_BENEDICT,12,982,2878,214,696,98,6,18,260,328,251.0,0.242,0.322,0.299,0.99,Catcher,0
69,BENNY_BENGOUGH,10,411,1125,83,287,46,12,0,108,62,45.0,0.255,0.295,0.317,0.988,Catcher,0
70,JUAN_BENIQUEZ,17,1500,4651,610,1274,190,30,79,476,349,551.0,0.27399999999999997,0.32899999999999996,0.379,0.977,Outfield,0
71,CHARLIE_BENNETT,15,1062,3821,549,978,203,67,55,533,478,572.0,0.256,0.34,0.387,0.9420000000000001,Catcher,0
72,JOHNNY_BERARDINO,11,912,3028,334,755,167,23,36,387,284,268.0,0.249,0.316,0.355,0.968,Second_base,0
73,MOE_BERG,15,663,1813,150,441,71,6,6,206,78,117.0,0.243,0.278,0.299,0.986,Catcher,0
74,BILL_BERGEN,11,947,3028,138,516,45,21,2,193,88,81.0,0.17,0.19399999999999998,0.201,0.972,Catcher,0
76,DAVE_BERGMAN,17,1349,2679,312,690,100,16,54,289,380,347.0,0.258,0.35100000000000003,0.36700000000000005,0.992,First_base,0
77,TONY_BERNAZARD,10,1071,3700,523,970,177,30,75,391,428,606.0,0.262,0.341,0.387,0.978,Second_base,0
78,DALE_BERRA,11,853,2553,236,603,109,9,49,278,210,422.0,0.23600000000000002,0.297,0.344,0.9590000000000001,Shortstop,0
79,YOGI_BERRA,19,2120,7555,1175,2150,321,49,358,1430,704,414.0,0.285,0.35,0.48200000000000004,0.9890000000000001,Catcher,1
80,RAY_BERRES,11,561,1330,96,287,37,3,3,78,76,134.0,0.21600000000000003,0.26,0.255,0.9890000000000001,Catcher,0
81,KEN_BERRY,14,1383,4136,422,1053,150,23,58,343,298,569.0,0.255,0.309,0.344,0.9890000000000001,Outfield,0
82,CHARLIE_BERRY,11,709,2018,196,539,88,29,23,256,160,196.0,0.267,0.322,0.374,0.982,Catcher,0
83,RENO_BERTOIA,10,612,1745,204,425,60,10,27,171,142,252.0,0.244,0.306,0.336,0.9490000000000001,Third_base,0
84,BOB_BESCHER,11,1228,4536,749,1171,190,74,28,345,619,451.0,0.258,0.353,0.35100000000000003,0.96,Outfield,0
85,KURT_BEVACQUA,15,970,2117,214,499,90,11,27,275,221,329.0,0.23600000000000002,0.309,0.327,0.938,Third_base,0
86,LOU_BIERBAUER,13,1383,5706,819,1521,208,95,33,706,268,129.0,0.267,0.301,0.354,0.935,Second_base,0
87,CARSON_BIGBEE,11,1147,4192,629,1205,139,75,17,324,344,161.0,0.287,0.345,0.369,0.966,Outfield,0
88,LARRY_BIITTNER,14,1217,3151,310,861,144,20,29,354,236,287.0,0.273,0.326,0.359,0.97,Outfield,0
89,STEVE_BILKO,10,600,1738,220,432,85,13,76,276,234,395.0,0.249,0.33899999999999997,0.444,0.992,First_base,0
90,JOSH_BILLINGS,11,243,488,44,106,12,5,0,29,23,73.0,0.217,0.268,0.262,0.9640000000000001,Catcher,0
91,MAX_BISHOP,12,1338,4494,966,1216,236,35,41,379,1153,452.0,0.271,0.423,0.366,0.976,Second_base,0
92,RAY_BLADES,10,767,2415,467,726,133,51,50,340,331,310.0,0.301,0.395,0.46,0.963,Outfield,0
93,PAUL_BLAIR,17,1947,6042,776,1513,282,55,134,620,449,877.0,0.25,0.305,0.382,0.988,Outfield,0
94,DON_BLASINGAME,12,1444,5296,731,1366,178,62,21,308,552,462.0,0.258,0.33,0.327,0.9790000000000001,Second_base,0
95,JIMMY_BLOODWORTH,11,1002,3519,347,874,160,20,62,451,202,407.0,0.248,0.292,0.358,0.975,Second_base,0
96,LU_BLUE,13,1615,5904,1151,1696,319,109,44,695,1092,436.0,0.287,0.402,0.401,0.9890000000000001,First_base,0
97,OSSIE_BLUEGE,18,1867,6440,883,1751,276,67,43,848,723,515.0,0.272,0.35200000000000004,0.35600000000000004,0.9570000000000001,Third_base,0
98,JOHN_BOCCABELLA,12,551,1462,117,320,56,5,26,148,96,246.0,0.21899999999999997,0.26899999999999996,0.317,0.9840000000000001,Catcher,0
100,FRANK_BOLLING,12,1540,5562,692,1415,221,40,106,556,462,558.0,0.254,0.315,0.366,0.982,Second_base,0
101,BOBBY_BONDS,14,1849,7043,1258,1886,302,66,332,1024,914,1757.0,0.268,0.35600000000000004,0.47100000000000003,0.977,Outfield,0
102,BARRY_BONNELL,10,976,3068,363,833,143,24,56,355,229,387.0,0.272,0.325,0.389,0.982,Outfield,0
104,BOB_BOONE,19,2264,7245,679,1838,303,26,105,826,663,608.0,0.254,0.318,0.34600000000000003,0.986,Catcher,0
105,FRENCHY_BORDAGARAY,11,930,2632,410,745,120,28,14,270,173,186.0,0.28300000000000003,0.331,0.366,0.982,Outfield,0
106,THAD_BOSLEY,14,784,1581,183,430,50,12,20,158,143,275.0,0.272,0.33299999999999996,0.35700000000000004,0.972,Outfield,0
108,JIM_BOTTOMLEY,16,1991,7471,1177,2313,465,151,219,1422,664,591.0,0.31,0.369,0.5,0.988,First_base,2
109,LOU_BOUDREAU,15,1646,6029,861,1779,385,66,68,789,796,309.0,0.295,0.38,0.415,0.973,Shortstop,1
110,LARRY_BOWA,16,2247,8418,987,2191,262,99,15,525,474,569.0,0.26,0.301,0.32,0.98,Shortstop,0
111,FRANK_BOWERMAN,15,1045,3401,343,852,102,38,13,392,129,0.0,0.251,0.28600000000000003,0.314,0.963,Catcher,0
113,KEN_BOYER,15,2034,7455,1104,2143,318,68,282,1141,713,1017.0,0.287,0.35100000000000003,0.462,0.9520000000000001,Third_base,0
114,JACK_BOYLE,13,1086,4222,668,1067,137,53,24,528,328,233.0,0.253,0.315,0.32,0.929,Catcher,0
115,BUDDY_BRADFORD,11,697,1605,224,363,50,8,52,175,184,411.0,0.226,0.313,0.364,0.971,Outfield,0
116,BILL_BRADLEY,14,1461,5430,754,1471,275,84,33,552,290,18.0,0.271,0.317,0.371,0.9329999999999999,Third_base,0
118,KITTY_BRANSFIELD,12,1330,4999,529,1351,225,75,13,637,221,41.0,0.27,0.304,0.353,0.983,First_base,0
119,STEVE_BRAUN,15,1425,3650,466,989,155,19,52,388,579,433.0,0.271,0.373,0.36700000000000005,0.973,Outfield,0
120,ROGER_BRESNAHAN,17,1446,4481,682,1252,218,71,26,530,714,99.0,0.27899999999999997,0.385,0.377,0.971,Catcher,2
121,RUBE_BRESSLER,19,1305,3881,544,1170,164,87,32,586,449,246.0,0.301,0.37799999999999995,0.413,0.971,Outfield,0
122,EDDIE_BRESSOUD,12,1186,3672,443,925,184,40,94,365,359,723.0,0.252,0.321,0.401,0.963,Shortstop,0
123,ROCKY_BRIDGES,11,919,2272,245,562,80,11,16,187,205,229.0,0.247,0.312,0.313,0.968,Shortstop,0
124,AL_BRIDWELL,11,1252,4169,457,1064,95,32,2,348,557,98.0,0.255,0.34700000000000003,0.295,0.9390000000000001,Shortstop,0
125,JOHN_BRIGGS,12,1366,4117,601,1041,170,43,139,507,663,785.0,0.253,0.35700000000000004,0.41600000000000004,0.973,Outfield,0
129,STEVE_BRODIE,12,1437,5699,886,1726,191,89,25,900,420,148.0,0.303,0.364,0.381,0.9590000000000001,Outfield,0
130,TOM_BROOKENS,12,1336,3865,477,950,175,40,71,431,281,605.0,0.24600000000000002,0.299,0.36700000000000005,0.943,Third_base,0
132,LARRY_BROWN,12,1129,3449,331,803,108,13,47,254,317,414.0,0.233,0.301,0.313,0.9640000000000001,Shortstop,0
133,OLLIE_BROWN,13,1221,3642,404,964,144,11,102,454,314,616.0,0.265,0.326,0.39399999999999996,0.977,Outfield,0
134,TOM_BROWN,17,1786,7363,1521,1952,239,138,64,529,748,708.0,0.265,0.337,0.361,0.89,Outfield,0
135,GATES_BROWN,13,1051,2262,330,582,78,19,84,322,242,275.0,0.257,0.33299999999999996,0.42,0.977,Outfield,0
137,PETE_BROWNING,13,1183,4820,954,1646,295,85,46,353,466,167.0,0.341,0.40299999999999997,0.467,0.883,Outfield,0
140,BILL_BUCKNER,22,2517,9397,1077,2715,498,49,174,1208,450,453.0,0.289,0.324,0.408,0.992,First_base,0
141,DON_BUFORD,10,1286,4553,718,1203,157,44,93,418,672,575.0,0.264,0.364,0.379,0.988,Outfield,0
142,AL_BUMBRY,14,1496,5053,778,1422,220,52,54,402,471,709.0,0.281,0.345,0.37799999999999995,0.986,Outfield,0
143,JACK_BURDOCK,14,960,3873,578,944,131,40,15,390,128,305.0,0.244,0.27,0.31,0.912,Second_base,0
144,SMOKY_BURGESS,18,1691,4471,485,1318,230,33,126,673,477,270.0,0.295,0.364,0.446,0.988,Catcher,0
145,JESSE_BURKETT,16,2066,8421,1720,2850,320,182,75,952,1029,230.0,0.33799999999999997,0.415,0.446,0.917,Outfield,2
146,RICK_BURLESON,13,1346,5139,656,1401,256,23,50,449,420,477.0,0.273,0.331,0.361,0.971,Shortstop,0
147,GEORGE-TIOGA_BURNS,16,1866,6573,901,2018,444,72,72,951,363,433.0,0.307,0.354,0.429,0.987,First_base,0
149,TOM_BURNS,13,1251,4920,722,1299,236,69,39,683,270,454.0,0.264,0.303,0.364,0.8859999999999999,Third_base,0
150,OYSTER_BURNS,11,1187,4637,869,1389,224,129,65,673,464,182.0,0.3,0.368,0.446,0.92,Outfield,0
151,JEFF_BURROUGHS,16,1689,5536,720,1443,230,20,240,882,831,1135.0,0.261,0.359,0.439,0.9740000000000001,Outfield,0
153,DONIE_BUSH,16,1946,7210,1280,1804,186,74,9,436,1158,346.0,0.25,0.35600000000000004,0.3,0.9359999999999999,Shortstop,0
154,DOC_BUSHONG,12,671,2392,287,511,58,12,2,106,124,97.0,0.214,0.254,0.25,0.9159999999999999,Catcher,0
155,BOBBY_BYRNE,11,1283,4831,667,1225,186,60,10,329,456,220.0,0.254,0.324,0.32299999999999995,0.934,Third_base,0
156,ENOS_CABELL,15,1688,5952,753,1647,263,56,60,596,259,691.0,0.27699999999999997,0.309,0.37,0.9440000000000001,Third_base,0
157,NIXEY_CALLAHAN,13,923,3295,442,901,135,46,11,394,159,9.0,0.273,0.311,0.35200000000000004,0.953,Outfield,0
158,JOHNNY_CALLISON,16,1886,6652,926,1757,321,89,226,840,650,1064.0,0.264,0.33299999999999996,0.441,0.9840000000000001,Outfield,0
159,DOLPH_CAMILLI,12,1490,5353,936,1482,261,86,239,950,947,961.0,0.27699999999999997,0.38799999999999996,0.49200000000000005,0.99,First_base,0
160,ROY_CAMPANELLA,10,1215,4205,627,1161,178,18,242,856,533,501.0,0.276,0.36200000000000004,0.5,0.988,Catcher,1
161,BERT_CAMPANERIS,19,2328,8684,1181,2249,313,86,79,646,618,1142.0,0.259,0.313,0.342,0.9640000000000001,Shortstop,0
163,CHRIS_CANNIZZARO,13,740,1950,132,458,66,12,18,169,241,354.0,0.235,0.321,0.309,0.983,Catcher,0
164,BERNIE_CARBO,12,1010,2733,372,722,140,9,96,358,538,611.0,0.264,0.389,0.42700000000000005,0.978,Outfield,0
166,LEO_CARDENAS,16,1941,6707,662,1725,285,49,118,689,522,1135.0,0.257,0.313,0.36700000000000005,0.971,Shortstop,0
167,ROD_CAREW,19,2469,9315,1424,3053,445,112,92,1015,1018,1028.0,0.32799999999999996,0.395,0.429,0.991,First_base,1
168,ANDY_CAREY,11,938,2850,371,741,119,38,64,350,268,389.0,0.26,0.32899999999999996,0.396,0.958,Third_base,0
169,MAX_CAREY,20,2476,9363,1545,2665,419,159,70,800,1040,695.0,0.285,0.361,0.386,0.966,Outfield,2
170,HICK_CARPENTER,12,1118,4638,720,1201,142,47,18,204,111,91.0,0.259,0.281,0.321,0.853,Third_base,0
174,GARY_CARTER,19,2296,7971,1025,2092,371,31,324,1225,848,997.0,0.262,0.33799999999999997,0.439,0.991,Catcher,0
175,RICO_CARTY,15,1651,5606,712,1677,278,17,204,890,642,663.0,0.299,0.37200000000000005,0.46399999999999997,0.97,Outfield,0
176,BOB_CARUTHERS,10,705,2465,508,694,104,50,29,213,417,79.0,0.282,0.391,0.4,0.875,Outfield,0
177,PAUL_CASANOVA,10,859,2786,214,627,87,12,50,252,101,430.0,0.225,0.254,0.319,0.985,Catcher,0
178,GEORGE_CASE,11,1226,5016,785,1415,233,43,21,377,426,297.0,0.282,0.341,0.358,0.97,Outfield,0
179,DOC_CASEY,10,1114,4341,584,1122,137,52,9,354,270,,0.258,0.31,0.32,0.915,Third_base,0
181,NORM_CASH,17,2089,6705,1046,1820,241,41,377,1103,1043,1091.0,0.271,0.377,0.488,0.992,First_base,0
184,DANNY_CATER,12,1289,4451,491,1229,191,29,66,519,254,406.0,0.276,0.318,0.377,0.9940000000000001,First_base,0
185,WAYNE_CAUSEY,11,1105,3244,357,819,130,26,35,285,390,341.0,0.252,0.335,0.341,0.9690000000000001,Shortstop,0
186,PHIL_CAVARRETTA,22,2030,6754,990,1977,347,99,95,920,820,598.0,0.293,0.37200000000000005,0.41600000000000004,0.99,First_base,0
188,ORLANDO_CEPEDA,17,2124,7927,1131,2351,417,27,379,1365,588,1169.0,0.297,0.353,0.499,0.99,First_base,2
189,RICK_CERONE,18,1329,4069,393,998,190,15,59,436,320,450.0,0.245,0.304,0.34299999999999997,0.99,Catcher,0
190,BOB_CERV,12,829,2261,320,624,96,26,105,374,212,392.0,0.276,0.34299999999999997,0.48100000000000004,0.976,Outfield,0
191,RON_CEY,17,2073,7162,977,1868,328,21,316,1139,1012,1235.0,0.261,0.35700000000000004,0.445,0.961,Third_base,0
192,CHRIS_CHAMBLISS,17,2175,7571,912,2109,392,42,185,972,632,926.0,0.27899999999999997,0.336,0.415,0.993,First_base,0
193,FRANK_CHANCE,17,1287,4297,797,1273,200,79,20,596,554,29.0,0.29600000000000004,0.39399999999999996,0.39399999999999996,0.987,First_base,2
194,DARREL_CHANEY,11,915,2113,237,458,75,17,14,190,238,471.0,0.217,0.297,0.28800000000000003,0.9590000000000001,Shortstop,0
195,SAM_CHAPMAN,11,1368,4988,754,1329,210,52,180,773,562,682.0,0.266,0.342,0.43799999999999994,0.972,Outfield,0
196,BEN_CHAPMAN,15,1717,6478,1144,1958,407,107,90,977,824,556.0,0.302,0.38299999999999995,0.44,0.9670000000000001,Outfield,0
197,HAL_CHASE,15,1919,7417,980,2158,322,124,57,941,276,306.0,0.29100000000000004,0.319,0.391,0.98,First_base,0
198,CUPID_CHILDS,13,1456,5618,1214,1720,205,100,20,654,991,117.0,0.306,0.41600000000000004,0.389,0.93,Second_base,0
199,HARRY_CHITI,10,502,1495,135,356,49,9,41,179,115,242.0,0.23800000000000002,0.29600000000000004,0.365,0.983,Catcher,0
200,GINO_CIMOLI,10,969,3054,370,808,133,48,44,321,221,474.0,0.265,0.317,0.38299999999999995,0.9740000000000001,Outfield,0
201,JACK_CLARK,18,1994,6847,1118,1826,332,39,340,1180,1262,1441.0,0.267,0.38299999999999995,0.47600000000000003,0.978,Outfield,0
203,HORACE_CLARKE,10,1272,4813,548,1230,150,23,27,304,365,362.0,0.256,0.31,0.313,0.983,Second_base,0
204,TOMMY_CLARKE,10,700,1708,169,453,66,37,6,191,216,177.0,0.265,0.35100000000000003,0.358,0.975,Catcher,0
205,BOILERYARD_CLARKE,13,950,3346,394,858,111,32,20,429,176,58.0,0.256,0.311,0.327,0.9470000000000001,Catcher,0
206,ROBERTO_CLEMENTE,18,2433,9454,1416,3000,440,166,240,1305,621,1230.0,0.317,0.36200000000000004,0.475,0.973,Outfield,1
207,JACK_CLEMENTS,17,1157,4283,619,1226,226,60,77,687,339,299.0,0.28600000000000003,0.34700000000000003,0.42100000000000004,0.937,Catcher,0
208,DONN_CLENDENON,12,1362,4648,594,1273,192,57,159,682,379,1140.0,0.27399999999999997,0.331,0.442,0.988,First_base,0
209,HARLOND_CLIFT,12,1582,5730,1070,1558,309,62,178,829,1070,713.0,0.272,0.39,0.441,0.948,Third_base,0
210,TY_CLINE,12,892,1834,251,437,53,25,6,125,153,262.0,0.23800000000000002,0.304,0.304,0.986,Outfield,0
213,GIL_COAN,11,918,2877,384,731,98,44,39,278,232,384.0,0.254,0.316,0.359,0.973,Outfield,0
214,TY_COBB,24,3035,11434,2246,4189,724,295,117,1937,1249,357.0,0.366,0.433,0.512,0.961,Outfield,1
215,MICKEY_COCHRANE,13,1482,5169,1041,1652,333,64,119,832,857,217.0,0.32,0.419,0.478,0.985,Catcher,1
217,NATE_COLBERT,10,1004,3422,481,833,141,25,173,520,383,902.0,0.243,0.324,0.451,0.991,First_base,0
218,DAVE_COLLINS,16,1701,4907,667,1335,187,52,32,373,467,660.0,0.272,0.34,0.35100000000000003,0.986,Outfield,0
219,EDDIE_COLLINS,25,2826,9949,1821,3312,438,186,47,1300,1499,286.0,0.33299999999999996,0.424,0.428,0.97,Second_base,1
220,JIMMY_COLLINS,14,1726,6796,1055,2000,353,116,65,983,426,32.0,0.294,0.344,0.409,0.929,Third_base,2
221,SHANO_COLLINS,16,1799,6390,747,1687,310,133,22,709,331,405.0,0.264,0.306,0.364,0.9620000000000001,Outfield,0
222,JOE_COLLINS,10,908,2329,404,596,79,24,86,329,338,263.0,0.256,0.35100000000000003,0.42100000000000004,0.99,First_base,0
223,PAT_COLLINS,10,543,1204,146,306,46,6,33,168,235,200.0,0.254,0.37799999999999995,0.385,0.9740000000000001,Catcher,0
224,EARLE_COMBS,12,1455,5746,1186,1866,309,154,58,632,670,278.0,0.325,0.397,0.462,0.9740000000000001,Outfield,2
225,CHARLIE_COMISKEY,13,1390,5796,994,1531,206,68,29,467,197,84.0,0.264,0.293,0.33799999999999997,0.973,First_base,0
226,ADAM_COMOROSKY,10,813,2787,404,795,134,51,28,417,214,158.0,0.285,0.33899999999999997,0.4,0.972,Outfield,0
228,ROGER_CONNOR,18,1997,7794,1620,2467,441,233,138,1322,1002,449.0,0.317,0.397,0.486,0.978,First_base,2
229,WID_CONROY,11,1374,5061,605,1257,176,82,22,452,345,,0.248,0.3,0.32899999999999996,0.934,Third_base,0
230,BILLY_CONSOLO,10,603,1178,158,260,31,11,9,83,161,297.0,0.221,0.316,0.289,0.945,Shortstop,0
234,WALKER_COOPER,18,1473,4702,573,1341,240,40,173,812,309,357.0,0.285,0.332,0.46399999999999997,0.977,Catcher,0
235,TOMMY_CORCORAN,18,2200,8804,1184,2252,289,155,34,1135,382,205.0,0.256,0.289,0.335,0.924,Shortstop,0
239,AL_COWENS,13,1584,5534,704,1494,276,68,108,717,389,659.0,0.27,0.322,0.40299999999999997,0.985,Outfield,0
240,BILLY_COX,11,1058,3712,470,974,174,32,66,351,298,218.0,0.262,0.318,0.38,0.965,Third_base,0
241,DOC_CRAMER,20,2239,9140,1357,2705,396,109,37,842,572,345.0,0.29600000000000004,0.34,0.375,0.9790000000000001,Outfield,0
242,DEL_CRANDALL,16,1573,5026,585,1276,179,18,179,657,424,477.0,0.254,0.315,0.40399999999999997,0.9890000000000001,Catcher,0
243,GAVVY_CRAVATH,11,1220,3951,575,1134,232,83,119,719,561,514.0,0.287,0.38,0.478,0.9440000000000001,Outfield,0
244,SAM_CRAWFORD,19,2517,9570,1391,2961,458,309,97,1525,760,104.0,0.309,0.36200000000000004,0.452,0.965,Outfield,2
245,WILLIE_CRAWFORD,14,1210,3435,507,921,152,35,86,419,431,664.0,0.268,0.35100000000000003,0.408,0.975,Outfield,0
246,LOU_CRIGER,16,1012,3202,337,709,86,50,11,342,309,0.0,0.221,0.294,0.29,0.971,Catcher,0
247,HUGHIE_CRITZ,12,1478,5930,832,1591,195,95,38,531,289,257.0,0.268,0.303,0.35200000000000004,0.9740000000000001,Second_base,0
249,JOE_CRONIN,20,2124,7579,1233,2285,515,118,170,1424,1059,700.0,0.301,0.39,0.46799999999999997,0.951,Shortstop,1
250,FRANKIE_CROSETTI,17,1683,6277,1006,1541,260,65,98,649,792,799.0,0.245,0.341,0.354,0.9490000000000001,Shortstop,0
251,LAVE_CROSS,21,2275,9072,1333,2645,411,135,47,1345,464,90.0,0.292,0.32799999999999996,0.382,0.938,Third_base,0
